"data_zone","simd_rank"
"S01006862",5313
"S01006863",5840
"S01006864",6395
"S01006865",6559
"S01006866",6898
"S01006867",6737
"S01006868",4930
"S01006869",5011
"S01006870",6539
"S01006871",5968
"S01006872",6593
"S01006873",6466
"S01006874",6051
"S01006875",5275
"S01006876",5878
"S01006877",6483
"S01006878",3890
"S01006879",5494
"S01006880",6896
"S01006881",6913
"S01006882",5481
"S01006883",6012
"S01006884",5616
"S01006885",4862
"S01006886",6061
"S01006887",6357
"S01006888",5619
"S01006889",2701
"S01006890",6477
"S01006891",5080
"S01006892",2858
"S01006893",4722
"S01006894",4735
"S01006895",3993
"S01006896",4637
"S01006897",6184
"S01006898",4602
"S01006899",6809
"S01006900",6153
"S01006901",3446
"S01006902",3731
"S01006903",2459
"S01006904",4329
"S01006905",4988
"S01006906",2752
"S01006907",4888
"S01006908",4686
"S01006909",6959
"S01006910",6793
"S01006911",6570
"S01006912",6743
"S01006913",6400
"S01006914",6891
"S01006915",6284
"S01006916",6524
"S01006917",6822
"S01006918",6528
"S01006919",5425
"S01006920",5056
"S01006921",6951
"S01006922",5983
"S01006923",5553
"S01006924",5398
"S01006925",6275
"S01006926",6121
"S01006927",6681
"S01006928",5248
"S01006929",6457
"S01006930",6873
"S01006931",6091
"S01006932",6870
"S01006933",6830
"S01006934",5541
"S01006935",6699
"S01006936",5767
"S01006937",6127
"S01006938",5540
"S01006939",6831
"S01006940",6629
"S01006941",5506
"S01006942",5269
"S01006943",6962
"S01006944",6882
"S01006945",6824
"S01006946",6568
"S01006947",6100
"S01006948",5512
"S01006949",6771
"S01006950",6692
"S01006951",5736
"S01006952",4003
"S01006953",6602
"S01006954",5632
"S01006955",3807
"S01006956",6485
"S01006957",6468
"S01006958",6337
"S01006959",4314
"S01006960",6722
"S01006961",6886
"S01006962",6028
"S01006963",5825
"S01006964",4960
"S01006965",6191
"S01006966",3249
"S01006967",6547
"S01006968",5229
"S01006969",4356
"S01006970",6665
"S01006971",3821
"S01006972",6440
"S01006973",6045
"S01006974",6363
"S01006975",6108
"S01006976",6499
"S01006977",4156
"S01006978",5312
"S01006979",5561
"S01006980",5936
"S01006981",6149
"S01006982",6377
"S01006983",5471
"S01006984",6670
"S01006985",5993
"S01006986",5044
"S01006987",5288
"S01006988",4554
"S01006989",6449
"S01006990",6493
"S01006991",3896
"S01006992",6452
"S01006993",4856
"S01006994",4372
"S01006995",5886
"S01006996",6119
"S01006997",6728
"S01006998",5690
"S01006999",5564
"S01007000",4899
"S01007001",4522
"S01007002",4174
"S01007003",6555
"S01007004",5430
"S01007005",6333
"S01007006",4225
"S01007007",4980
"S01007008",3540
"S01007009",3698
"S01007010",5254
"S01007011",3325
"S01007012",1873
"S01007013",3812
"S01007014",6222
"S01007015",5118
"S01007016",5014
"S01007017",3008
"S01007018",4846
"S01007019",3607
"S01007020",4397
"S01007021",4448
"S01007022",6062
"S01007023",4550
"S01007024",3743
"S01007025",2625
"S01007026",3742
"S01007027",2972
"S01007028",3910
"S01007029",4606
"S01007030",3559
"S01007031",2786
"S01007032",2963
"S01007033",3150
"S01007034",3665
"S01007035",1809
"S01007036",4072
"S01007037",3510
"S01007038",3908
"S01007039",2784
"S01007040",4039
"S01007041",3624
"S01007042",3321
"S01007043",4558
"S01007044",4078
"S01007045",3047
"S01007046",3423
"S01007047",4878
"S01007048",3846
"S01007049",2363
"S01007050",3765
"S01007051",4997
"S01007052",4288
"S01007053",4530
"S01007054",3749
"S01007055",5808
"S01007056",4498
"S01007057",5454
"S01007058",3252
"S01007059",3920
"S01007060",2524
"S01007061",6442
"S01007062",5713
"S01007063",4704
"S01007064",4728
"S01007065",5733
"S01007066",4350
"S01007067",4863
"S01007068",2147
"S01007069",4436
"S01007070",1845
"S01007071",4381
"S01007072",6101
"S01007073",5793
"S01007074",3574
"S01007075",1989
"S01007076",3289
"S01007077",4153
"S01007078",2660
"S01007079",2834
"S01007080",3347
"S01007081",1940
"S01007082",1730
"S01007083",990
"S01007084",3444
"S01007085",3379
"S01007086",1843
"S01007087",1216
"S01007088",871
"S01007089",6626
"S01007090",5686
"S01007091",3758
"S01007092",2080
"S01007093",5503
"S01007094",4511
"S01007095",4925
"S01007096",5660
"S01007097",4066
"S01007098",6752
"S01007099",4919
"S01007100",4380
"S01007101",1880
"S01007102",4029
"S01007103",4017
"S01007104",5215
"S01007105",3757
"S01007106",3548
"S01007107",5873
"S01007108",3502
"S01007109",2517
"S01007110",2678
"S01007111",3468
"S01007112",5874
"S01007113",3939
"S01007114",5133
"S01007115",3694
"S01007116",6883
"S01007117",6381
"S01007118",1934
"S01007119",1156
"S01007120",1672
"S01007121",3003
"S01007122",3954
"S01007123",3589
"S01007124",4414
"S01007125",3085
"S01007126",1511
"S01007127",1825
"S01007128",2139
"S01007129",6630
"S01007130",5332
"S01007131",5419
"S01007132",6202
"S01007133",4012
"S01007134",3930
"S01007135",6001
"S01007136",6324
"S01007137",6837
"S01007138",5306
"S01007139",4655
"S01007140",5486
"S01007141",4573
"S01007142",6023
"S01007143",6624
"S01007144",4139
"S01007145",4383
"S01007146",5147
"S01007147",5174
"S01007148",6230
"S01007149",5185
"S01007150",5516
"S01007151",6408
"S01007152",5195
"S01007153",4569
"S01007154",4130
"S01007155",4753
"S01007156",4144
"S01007157",2532
"S01007158",5357
"S01007159",2903
"S01007160",3424
"S01007161",3328
"S01007162",3298
"S01007163",4630
"S01007164",4996
"S01007165",4861
"S01007166",5622
"S01007167",5865
"S01007168",6445
"S01007169",5150
"S01007170",5902
"S01007171",5562
"S01007172",4049
"S01007173",6021
"S01007174",3068
"S01007175",5266
"S01007176",4979
"S01007177",2378
"S01007178",1065
"S01007179",5403
"S01007180",4868
"S01007181",4685
"S01007182",3746
"S01007183",2579
"S01007184",2284
"S01007185",1311
"S01007186",1195
"S01007187",2688
"S01007188",3051
"S01007189",2220
"S01007190",3575
"S01007191",3716
"S01007192",2428
"S01007193",3148
"S01007194",1253
"S01007195",1123
"S01007196",2226
"S01007197",900
"S01007198",1072
"S01007199",619
"S01007200",2884
"S01007201",2492
"S01007202",2001
"S01007203",2888
"S01007204",4582
"S01007205",4970
"S01007206",3324
"S01007207",3517
"S01007208",2082
"S01007209",3100
"S01007210",1667
"S01007211",2170
"S01007212",4875
"S01007213",4812
"S01007214",2240
"S01007215",3924
"S01007216",4313
"S01007217",2049
"S01007218",5974
"S01007219",2666
"S01007220",3075
"S01007221",5641
"S01007222",3648
"S01007223",6448
"S01007224",5330
"S01007225",4912
"S01007226",5537
"S01007227",3156
"S01007228",4193
"S01007229",4463
"S01007230",1703
"S01007231",1912
"S01007232",1284
"S01007233",3683
"S01007234",2645
"S01007235",3576
"S01007236",3741
"S01007237",5277
"S01007238",3950
"S01007239",5171
"S01007240",4524
"S01007241",5910
"S01007242",4249
"S01007243",4743
"S01007244",4302
"S01007245",3800
"S01007246",4033
"S01007247",5083
"S01007248",6679
"S01007249",3747
"S01007250",3437
"S01007251",3553
"S01007252",3580
"S01007253",5724
"S01007254",2371
"S01007255",1182
"S01007256",2855
"S01007257",2491
"S01007258",3699
"S01007259",2978
"S01007260",1160
"S01007261",4745
"S01007262",3262
"S01007263",2686
"S01007264",3886
"S01007265",2946
"S01007266",3061
"S01007267",5189
"S01007268",5075
"S01007269",4769
"S01007270",4179
"S01007271",3977
"S01007272",2451
"S01007273",3923
"S01007274",4071
"S01007275",4566
"S01007276",3964
"S01007277",5642
"S01007278",6305
"S01007279",5567
"S01007280",4703
"S01007281",5136
"S01007282",5534
"S01007283",4918
"S01007284",4061
"S01007285",4624
"S01007286",5076
"S01007287",4773
"S01007288",4852
"S01007289",5938
"S01007290",3166
"S01007291",1911
"S01007292",5621
"S01007293",1542
"S01007294",4027
"S01007295",2281
"S01007296",2814
"S01007297",5103
"S01007298",3482
"S01007299",3053
"S01007300",1679
"S01007301",5439
"S01007302",2055
"S01007303",3972
"S01007304",5442
"S01007305",5226
"S01007306",4754
"S01007307",4835
"S01007308",4081
"S01007309",5001
"S01007310",4903
"S01007311",3958
"S01007312",4400
"S01007313",5500
"S01007314",5196
"S01007315",4089
"S01007316",2474
"S01007317",3927
"S01007318",3388
"S01007319",3522
"S01007320",5991
"S01007321",4793
"S01007322",4137
"S01007323",3647
"S01007324",5695
"S01007325",4083
"S01007326",4648
"S01007327",3104
"S01007328",3334
"S01007329",3790
"S01007330",4126
"S01007331",3474
"S01007332",4489
"S01007333",3777
"S01007334",1226
"S01007335",1733
"S01007336",2247
"S01007337",2182
"S01007338",3165
"S01007339",4234
"S01007340",2457
"S01007341",4037
"S01007342",5238
"S01007343",4283
"S01007344",2900
"S01007345",724
"S01007346",2009
"S01007347",1743
"S01007348",2632
"S01007349",3083
"S01007350",2277
"S01007351",3618
"S01007352",4528
"S01007353",4145
"S01007354",3573
"S01007355",3097
"S01007356",3062
"S01007357",4295
"S01007358",4834
"S01007359",1539
"S01007360",4265
"S01007361",3658
"S01007362",2811
"S01007363",3133
"S01007364",1024
"S01007365",2719
"S01007366",1252
"S01007367",2421
"S01007368",641
"S01007369",2387
"S01007370",2675
"S01007371",3228
"S01007372",3455
"S01007373",4115
"S01007374",4518
"S01007375",4565
"S01007376",1754
"S01007377",5267
"S01007378",6905
"S01007379",2635
"S01007380",2690
"S01007381",5901
"S01007382",4950
"S01007383",4816
"S01007384",4876
"S01007385",3875
"S01007386",6557
"S01007387",6474
"S01007388",6613
"S01007389",2414
"S01007390",2589
"S01007391",6502
"S01007392",6543
"S01007393",5072
"S01007394",4889
"S01007395",2703
"S01007396",2947
"S01007397",3931
"S01007398",444
"S01007399",150
"S01007400",4311
"S01007401",5572
"S01007402",5813
"S01007403",5393
"S01007404",3906
"S01007405",6070
"S01007406",6123
"S01007407",5609
"S01007408",3143
"S01007409",2928
"S01007410",378
"S01007411",1141
"S01007412",2943
"S01007413",5262
"S01007414",6170
"S01007415",835
"S01007416",293
"S01007417",5497
"S01007418",2207
"S01007419",1394
"S01007420",4877
"S01007421",3841
"S01007422",3608
"S01007423",4736
"S01007424",6424
"S01007425",3438
"S01007426",2702
"S01007427",1936
"S01007428",3484
"S01007429",3365
"S01007430",3590
"S01007431",6036
"S01007432",2412
"S01007433",2798
"S01007434",385
"S01007435",2673
"S01007436",1798
"S01007437",2438
"S01007438",2279
"S01007439",3071
"S01007440",2674
"S01007441",6371
"S01007442",6865
"S01007443",4880
"S01007444",5353
"S01007445",6538
"S01007446",6864
"S01007447",6633
"S01007448",5088
"S01007449",1684
"S01007450",1319
"S01007451",2728
"S01007452",1410
"S01007453",5097
"S01007454",1466
"S01007455",1053
"S01007456",834
"S01007457",1302
"S01007458",5922
"S01007459",4324
"S01007460",1561
"S01007461",125
"S01007462",1647
"S01007463",65
"S01007464",511
"S01007465",3
"S01007466",965
"S01007467",2123
"S01007468",4897
"S01007469",1805
"S01007470",726
"S01007471",2012
"S01007472",1971
"S01007473",1034
"S01007474",4967
"S01007475",5365
"S01007476",3914
"S01007477",5339
"S01007478",3769
"S01007479",2599
"S01007480",3384
"S01007481",5142
"S01007482",1206
"S01007483",2332
"S01007484",962
"S01007485",73
"S01007486",82
"S01007487",1359
"S01007488",3023
"S01007489",3052
"S01007490",1408
"S01007491",1991
"S01007492",2098
"S01007493",2439
"S01007494",3137
"S01007495",4006
"S01007496",2929
"S01007497",2737
"S01007498",1899
"S01007499",2333
"S01007500",2270
"S01007501",2764
"S01007502",2932
"S01007503",2528
"S01007504",3966
"S01007505",2235
"S01007506",4598
"S01007507",3734
"S01007508",3159
"S01007509",3435
"S01007510",2941
"S01007511",2842
"S01007512",3714
"S01007513",1692
"S01007514",3798
"S01007515",5043
"S01007516",1810
"S01007517",2546
"S01007518",3631
"S01007519",3178
"S01007520",2776
"S01007521",5244
"S01007522",3499
"S01007523",4342
"S01007524",4760
"S01007525",3952
"S01007526",3515
"S01007527",5235
"S01007528",3894
"S01007529",5539
"S01007530",5532
"S01007531",3934
"S01007532",4770
"S01007533",3578
"S01007534",2873
"S01007535",3422
"S01007536",3657
"S01007537",3214
"S01007538",3723
"S01007539",5712
"S01007540",3498
"S01007541",4320
"S01007542",2768
"S01007543",3443
"S01007544",5203
"S01007545",4953
"S01007546",4786
"S01007547",5198
"S01007548",3643
"S01007549",4123
"S01007550",3670
"S01007551",4344
"S01007552",1652
"S01007553",929
"S01007554",1339
"S01007555",3702
"S01007556",3113
"S01007557",2772
"S01007558",3209
"S01007559",4464
"S01007560",4108
"S01007561",3639
"S01007562",4503
"S01007563",3863
"S01007564",4052
"S01007565",3175
"S01007566",4142
"S01007567",6138
"S01007568",4389
"S01007569",3664
"S01007570",4106
"S01007571",4465
"S01007572",3009
"S01007573",4321
"S01007574",2126
"S01007575",751
"S01007576",183
"S01007577",120
"S01007578",679
"S01007579",950
"S01007580",491
"S01007581",1101
"S01007582",1264
"S01007583",902
"S01007584",2911
"S01007585",3997
"S01007586",2141
"S01007587",5091
"S01007588",5435
"S01007589",4048
"S01007590",6403
"S01007591",3367
"S01007592",1183
"S01007593",3256
"S01007594",3813
"S01007595",3715
"S01007596",3205
"S01007597",4669
"S01007598",4485
"S01007599",2631
"S01007600",3905
"S01007601",4455
"S01007602",5452
"S01007603",5769
"S01007604",5633
"S01007605",5128
"S01007606",4470
"S01007607",5990
"S01007608",5975
"S01007609",848
"S01007610",2355
"S01007611",2272
"S01007612",1718
"S01007613",3571
"S01007614",6374
"S01007615",3196
"S01007616",2065
"S01007617",1486
"S01007618",1695
"S01007619",2616
"S01007620",5389
"S01007621",4260
"S01007622",3667
"S01007623",5551
"S01007624",5255
"S01007625",5098
"S01007626",5461
"S01007627",6640
"S01007628",4516
"S01007629",4032
"S01007630",4883
"S01007631",5410
"S01007632",3848
"S01007633",3990
"S01007634",4487
"S01007635",5079
"S01007636",3528
"S01007637",3396
"S01007638",4190
"S01007639",2404
"S01007640",3811
"S01007641",3814
"S01007642",4627
"S01007643",5190
"S01007644",3834
"S01007645",5073
"S01007646",4845
"S01007647",5599
"S01007648",6004
"S01007649",5086
"S01007650",5650
"S01007651",4551
"S01007652",3299
"S01007653",4517
"S01007654",2024
"S01007655",3805
"S01007656",3485
"S01007657",4805
"S01007658",4152
"S01007659",3760
"S01007660",1267
"S01007661",3596
"S01007662",3073
"S01007663",4441
"S01007664",2159
"S01007665",3483
"S01007666",4428
"S01007667",5721
"S01007668",2056
"S01007669",1070
"S01007670",1572
"S01007671",3903
"S01007672",6078
"S01007673",4177
"S01007674",2033
"S01007675",4776
"S01007676",5499
"S01007677",6136
"S01007678",4127
"S01007679",2781
"S01007680",6364
"S01007681",4217
"S01007682",5563
"S01007683",6384
"S01007684",6094
"S01007685",6785
"S01007686",5906
"S01007687",6058
"S01007688",4787
"S01007689",4620
"S01007690",4482
"S01007691",5053
"S01007692",5034
"S01007693",3660
"S01007694",2510
"S01007695",3380
"S01007696",2515
"S01007697",2961
"S01007698",2054
"S01007699",1184
"S01007700",4255
"S01007701",149
"S01007702",6642
"S01007703",3735
"S01007704",595
"S01007705",1851
"S01007706",4586
"S01007707",4989
"S01007708",1525
"S01007709",2070
"S01007710",2759
"S01007711",1908
"S01007712",3524
"S01007713",1588
"S01007714",1994
"S01007715",1777
"S01007716",2238
"S01007717",1955
"S01007718",2592
"S01007719",2162
"S01007720",1896
"S01007721",2486
"S01007722",1121
"S01007723",1312
"S01007724",926
"S01007725",1644
"S01007726",1507
"S01007727",2129
"S01007728",2731
"S01007729",2881
"S01007730",3465
"S01007731",3134
"S01007732",3295
"S01007733",4632
"S01007734",4810
"S01007735",4701
"S01007736",4942
"S01007737",3382
"S01007738",3780
"S01007739",3230
"S01007740",3463
"S01007741",1840
"S01007742",2385
"S01007743",1261
"S01007744",864
"S01007745",1223
"S01007746",1189
"S01007747",889
"S01007748",645
"S01007749",5212
"S01007750",5626
"S01007751",5173
"S01007752",4036
"S01007753",1137
"S01007754",778
"S01007755",372
"S01007756",733
"S01007757",5531
"S01007758",6147
"S01007759",3344
"S01007760",6263
"S01007761",5836
"S01007762",3891
"S01007763",2669
"S01007764",5566
"S01007765",6283
"S01007766",6231
"S01007767",5884
"S01007768",4507
"S01007769",5210
"S01007770",6428
"S01007771",6495
"S01007772",1824
"S01007773",5941
"S01007774",6893
"S01007775",4945
"S01007776",6261
"S01007777",6957
"S01007778",4261
"S01007779",3995
"S01007780",4640
"S01007781",3436
"S01007782",67
"S01007783",44
"S01007784",2158
"S01007785",111
"S01007786",1944
"S01007787",1556
"S01007788",140
"S01007789",345
"S01007790",18
"S01007791",4492
"S01007792",1629
"S01007793",276
"S01007794",2110
"S01007795",2336
"S01007796",1401
"S01007797",354
"S01007798",5020
"S01007799",4423
"S01007800",184
"S01007801",133
"S01007802",4239
"S01007803",122
"S01007804",302
"S01007805",194
"S01007806",1071
"S01007807",3317
"S01007808",687
"S01007809",5030
"S01007810",790
"S01007811",223
"S01007812",94
"S01007813",494
"S01007814",2572
"S01007815",4230
"S01007816",4693
"S01007817",2262
"S01007818",3491
"S01007819",3700
"S01007820",1864
"S01007821",3988
"S01007822",3503
"S01007823",5146
"S01007824",4395
"S01007825",4300
"S01007826",376
"S01007827",2787
"S01007828",1737
"S01007829",2232
"S01007830",2893
"S01007831",1915
"S01007832",1760
"S01007833",2730
"S01007834",1481
"S01007835",3922
"S01007836",3717
"S01007837",5406
"S01007838",5706
"S01007839",1801
"S01007840",1705
"S01007841",1724
"S01007842",225
"S01007843",1185
"S01007844",440
"S01007845",151
"S01007846",1180
"S01007847",463
"S01007848",477
"S01007849",808
"S01007850",727
"S01007851",2581
