"data_zone","education","health","housing","access","crime","income","employment"
"S01006506",5373,4911,3248,5065,5519,4513,4260
"S01006507",4020,5085,3486,2222,6308,4334,4830
"S01006508",6017,5849,5342,3596,6132,5266,6101
"S01006509",4917,3969,4394.5,4553,6542,5002,4599
"S01006510",3515,3029,3736,5681,3906,3341,4055
"S01006511",5521,5452,5924,5893,6464,5836,6125
"S01006512",6160,6348,4815.5,534,6543,6349,6714
"S01006513",6652,4311,6393,1419,6544,5933,6013
"S01006514",6839,6671,6868,2016,6391,6762,6820
"S01006515",6831,6713,6175,655,6267,6789,6892
"S01006516",6560,6891,6570,1233,5545,6272,6169
"S01006517",6590,6042,5892,1075,4285,6202,5811
"S01006518",6959,6832,6960,1074,6545,6749,6815
"S01006519",6813,6655,6856,918,6546,6680,6525
"S01006520",6972,6967,6825,625,6547,6967,6973
"S01006521",6867,6940,6869,842,5468.5,6905,6948
"S01006522",6878,6932,6841,1420,6548,6958,6952
"S01006523",6880,5499,6581,2236,5376,6036,6591
"S01006524",6309,4274,6240,2037,5709,3531,2877
"S01006525",6945,5774,6259.5,2177,6549,5995,5754
"S01006526",1275,2523,1454,1466,5075,3167,3512
"S01006527",1514,1609,3235,2924,2175,2442,1978
"S01006528",2403,3528,1723,3730,2993.5,3763,4688
"S01006529",2602,4192,945,5074,1722,3770,4919
"S01006530",1344,2395,1626,5369,2548,2817,2733
"S01006531",1194,2058,1122,4671,1802,2432,2936
"S01006532",6289,5463,6110,3906,2711,5569,6078
"S01006533",6879,6881,6946,3401,5468.5,6819,6767
"S01006534",6464,6749,6168,3725,4828,6709,6843
"S01006535",5918,6488,2839,5470,4601,6181,6614
"S01006536",5447,6321,1197,6046,2928,6531,6657
"S01006537",6715,5173,6398,1721,6520,6500,6877
"S01006538",6672,6737,6462,1188,6550,6457,6777
"S01006539",6535,6276,6328,2782,5483,6746,6785
"S01006540",6696,6503,4761,1783,4382,6317,6470
"S01006541",6664,6091,6619,3609,6486,6088,6724
"S01006542",6782,6769,6239,2607,5877,6803,6929
"S01006543",6600,5670,6900,2347,5803,5702,6532
"S01006544",6685,6406,3380,4025,3655,6466,6853
"S01006545",6398,5654,4757,5221,4688,5669,5748
"S01006546",6436,6240,6799,6014,5715,6491,5889
"S01006547",6218,3908,4090,680,1499,3806,3970
"S01006548",6607,6637,6499,1239,5569,6870,6737
"S01006549",6605,6613,6004,2183,4896,6926,6746
"S01006550",6882,6442,6585,2449,6551,6932,6863
"S01006551",3123,1981,1502,1986,2414,2247,1424
"S01006552",5915,6536,6637,1485,4975,5813,6232
"S01006553",4538,4055,4628,3626,3468,4657,4361
"S01006554",3131,3705,2235,4496,2095,4433,4302
"S01006555",1211,1740,1067,2588,565,1963,1985
"S01006556",2542,1678,1660,4872,3147,2711,2609
"S01006557",1536,1142,2323,2172,1461,2156,2209
"S01006558",6798,6389,2751,3994,1867,6432,6546
"S01006559",6934,6837,5199,5592,4416,6367,6871
"S01006560",6856,5451,5876,5128,5049,5863,6862
"S01006561",6612,6923,6509,6040,5192,6861,6964
"S01006562",5651,4229,4178,3328,5030,5053,4169
"S01006563",6045,4526,2829,4571,536,5915,5602
"S01006564",1693,2874,608,6280,1235,2966,3349
"S01006565",1722,3716,140,6199,1711,4633,4600
"S01006566",6476,5606,1947,6420,3942,5211,5728
"S01006567",2811,1756,275,6745,1109,2712,3015
"S01006568",4290,6605,649,6616,3244,6426,6503
"S01006569",6601,6071,1285,6400,5505,5540,5057
"S01006570",6539,6680,4238,5787,4188,6706,6720
"S01006571",6470,6409,3853,6317,314,6178,6482
"S01006572",6954,6888,6285,2868,3934,6897,6949
"S01006573",6887,6772,6618,3197,6552,6836,6905
"S01006574",6606,6755,6086,4938,2371,6850,6909
"S01006575",6783,6567,5762,4000,5325,6874,6939
"S01006576",6801,6562,4755,5034,3629,6677,6526
"S01006577",6714,6426,1826,5900,3647,6388,6633
"S01006578",4687,4805,566,6008,2775,4987,5521
"S01006579",3961,6492,1024,6230,4563,6046,6167
"S01006580",6545,6347,1196,6675,1770,5814,6398
"S01006581",6828,6319,6019,4068,5560,6959,6854
"S01006582",2391,3971,722,5868,25,3945,4723
"S01006583",3934,6100,1568,6621,3824,5549,6375
"S01006584",5273,6404,638,6882,4537,6800,6656
"S01006585",1816,1269,394,6641,68,2615,2193
"S01006586",2773,3328,286,6142,7,4164,4553
"S01006587",519,1299,184,4825,9,2476,2869
"S01006588",5149,4546,77,6146,6,4956,5436
"S01006589",2747,4279,250,5702,205,3884,4437
"S01006590",3710,2543,231,6097,359,3818,3517
"S01006591",3880,2975,522,5967,2544,4125,3815
"S01006592",6405,6930,2855,4324,2165,6879,6844
"S01006593",5678,6681,1917,5444,4352,6364,6681
"S01006594",4692,5614,2533,6504,4319,6099,6152
"S01006595",4870,5673,1991,5492,4159,5212,6248
"S01006596",5629,5226,2111,4777,3290,6452,6483
"S01006597",1197,5141,391,6272,770,5072,4859
"S01006598",6683,6893,5861,2773,3219,6711,6810
"S01006599",5462,3941,1919,5358,3213,4049,3725
"S01006600",6027,4753,2801,5363,3107,5736,6385
"S01006601",4670,5419,1929,5728,3508,4830,4784
"S01006602",6414,5935,6407,5134,6409,6334,6827
"S01006603",841,1982,2099,4308,2268,2309,2061
"S01006604",2316,3147,2418,4913,914,3165,3972
"S01006605",1258,1020,2105,6144,1354,1841,2928
"S01006606",4608,4030,3625,3831,4717,4424,4079
"S01006607",2042,3595,1663,6224,2531,3667,3854
"S01006608",4790,5502,4827,972,2051,5909,6627
"S01006609",1376,2783,2227,5538,3045,3727,4434
"S01006610",1599,2257,2130,5749,2792,2570,2648
"S01006611",1208,2604,1946,5174,2154,3434,2886
"S01006612",3299,3983,4272,3564,3762,4785,4939
"S01006613",4895,6538,5294,1645,5958,6562,6917
"S01006614",5190,5889,6277,2302,5825,6943,6630
"S01006615",5628,6894,6640,1135,6553,6806,6965
"S01006616",4862,5439,4782,2864,5748,5899,6787
"S01006617",5112,4764,4538,3548,4054,5073,4915
"S01006618",4274,5672,5357,3783,5300,6216,6003
"S01006619",3718,4078,4641,2220,5432,6210,5781
"S01006620",3703,4167,3973,3757,5581,5055,5498
"S01006621",2563,4160,4009.5,3577,5373,5062,5654
"S01006622",4459,5530,3067,3652,5766,5844,5911
"S01006623",2480,2430,2155,3323,461,4067,3430
"S01006624",1790,2918,160,6857,1906,3506,2991
"S01006625",2815,3307,1674,6789,1133,3829,3480
"S01006626",801,1783,684,6712,572,2157,2353
"S01006627",423,1088,84,6748,378,2355,1733
"S01006628",1752,3291,45,6964,658,3776,3187
"S01006629",292,1363,902,6572,875,1196,2336
"S01006630",776,1386,1174,5030,4296,1385,2149
"S01006631",819,1662,795,3404,278,1532,2631
"S01006632",232,1389,759,5811,1742,1953,1582
"S01006633",399,1355,776,4910,505,1283,1651
"S01006634",425,877,1070,3425,292,583,556
"S01006635",809,3018,731,5216,1663,2064,2601
"S01006636",271,958,983,2630,618,554,1497
"S01006637",2753,3094,457,3407,853,4182,4212
"S01006638",1880,1825,324,6395,2674,3208,3101
"S01006639",1122,1623,205,6352,486,2093,2505
"S01006640",5781,6631,1145,5411,1020,6667,6744
"S01006641",1757,4125,220,6344,1077,4369,4132
"S01006642",5851,4011,207,6177,1098,5246,4780
"S01006643",4461,4989,219,5775,2143,5796,5777
"S01006644",3037,3726,288,4334,4122,4323,4582
"S01006645",685,1991,769,6333,540,1218,1382
"S01006646",3870,4579,195,6228,215,5477,6492
"S01006647",1331,2622,597,4895,1823,2849,3258
"S01006648",4632,3661,163,6478,531,4790,4581
"S01006649",2705,2674,642,6651,1531,3346,2775
"S01006650",2926,2766,164,6958,1784,4345,3886
"S01006651",2644,2971,188,6661,753,3654,3289
"S01006652",2722,5058,579,6601,838,5232,5450
"S01006653",5517,6092,2877,4926,3413,5886,5174
"S01006654",1345,1383,1262,3398,1033,2196,2097
"S01006655",2875,2738,1776,3099,695,4158,2873
"S01006656",3293,4067,814,6241,3373,4005,4800
"S01006657",1771,2605,296,6806,10,3983,3196
"S01006658",525,2826,180,4840,995,3349,3520
"S01006659",3685,6104,911,6134,2487,6765,6750
"S01006660",826,4654,137,5813,3769,3432,4825
"S01006661",2693,5270,435,6085,2520,6313,6036
"S01006662",855,2814,923,4996,1581,3245,4122
"S01006663",4354,6696,293,6619,5446,6378,6890
"S01006664",3058,5038,460,6105,2073,5281,5114
"S01006665",6367,5723,141,6041,3275,6084,6127
"S01006666",561,752,603,5171,402,1125,1426
"S01006667",145,534,350,5507,306,1627,994
"S01006668",4620,4875,311,5371,3807,5399,5704
"S01006669",6032,2272,611,6111,880,4169,3307
"S01006670",2754,3401,316,5352,3274,4509,4428
"S01006671",3483,6903,982,2314,5064,6886,6912
"S01006672",674,1972,320,6750,438,2378,3732
"S01006673",870,1932,1135,5449,1255,3198,3945
"S01006674",1006,990,815,5017,1279,1379,1464
"S01006675",454,1102,1379,4426,365,1391,2121
"S01006676",962,1214,823,5279,518,930,1348
"S01006677",950,481,1146,5112,707,1642,939
"S01006678",570,1920,1318,4900,1228,2518,2782
"S01006679",2453,4359,3224,5895,5456,6051,5824
"S01006680",451,2016,1060,4061,2111,1313,1895
"S01006681",367,1699,683,5387,574,2533,2834
"S01006682",1090,1297,653,6587,760,1347,2206
"S01006683",999,2261,760,6489,1274,1468,2383
"S01006684",805,98,500,6902,180,1106,571
"S01006685",666,1348,1093,6486,483,1789,1433
"S01006686",1712,2627,1767,5214,2729,2684,3357
"S01006687",1692,2621,1958,5342,2385,2771,3117
"S01006688",3871,3845,3943,4014,3188,4137,5023
"S01006689",6348,6823,4727,5270,4444,6904,6968
"S01006690",3033,3589,2305,5850,2591,4454,3986
"S01006691",3847,5677,4193,5073,2993.5,6492,6159
"S01006692",4503,5149,4565,6262,4027,4753,5194
"S01006693",3163,4215,633,6775,1889,4116,5025
"S01006694",1668,835,2413,2021,3570,1930,1850
"S01006695",2750,2566,3876,2336,1464,4232,3084
"S01006696",3060,2407,677,2527,1078,2498,3010
"S01006697",1936,2055,1868,2703,1293,2967,2722
"S01006698",1061,928,1268,3528,1268,1584,1898
"S01006699",2996,4901,1072,2393,5233,4941,6476
"S01006700",2344,2829,2042,2469,2866,3240,2686
"S01006701",815,1456,751,5118,2495,1227,2779
"S01006702",2039,3725,1459,6238,4744,4141,4587
"S01006703",907,1747,1085,6560,259,2568,3004
"S01006704",1240,605,1213,5898,1356,1290,1157
"S01006705",1060,2558,2011,6315,1265,2212,2346
"S01006706",1625,1166,1297,6298,2798,3338,3270
"S01006707",731,641,1574,5051,455,1124,1679
"S01006708",2888,2101,1609,4140,3399,3288,3046
"S01006709",1639,2438,2441,2418,4064,2975,3021
"S01006710",3204,2226,4143,913,4335,3500,3801
"S01006711",2261,898,2253,1175,2037,1769,769
"S01006712",1388,3583,2597,2642,5017,4348,3785
"S01006713",542,2443,658,5494,2624,3053,3565
"S01006714",1461,2823,2698,4046,3221,2866,3248
"S01006715",153,1799,871,5238,1421,1656,3085
"S01006716",679,1612,1896,5618,1173,1885,2151
"S01006717",1259,1450,1552,5506,1473,2215,3473
"S01006718",297,2890,1516,5760,1921,2981,3498
"S01006719",675,1344,1544,4890,1492,2698,3014
"S01006720",259,1862,1111,4820,2650,2296,2300
"S01006721",1256,1610,1705,6577,648,2118,2436
"S01006722",1066,1784,1394,5720,2819,2636,3243
"S01006723",816,2298,2070,6157,3130,2794,2649
"S01006724",195,994,377,5708,181,865,1608
"S01006725",1319,1019,1531,6073,206,2578,1953
"S01006726",263,1178,393,4440,458,1211,2181
"S01006727",214,512,559,5185,344,1659,1531
"S01006728",912,2915,2202,1735,1806,3188,3647
"S01006729",178,714,708,4138,1298,1131,1662
"S01006730",927,2723,1845,2124,2625,3652,3984
"S01006731",1317,1704,1320,2268,1723,1925,1698
"S01006732",5276,6432,4013,558,3596,4768,6459
"S01006733",6750,6706,6776,2264,6554,6948,6957
"S01006734",6598,5548,6824,3647,5848,6567,6690
"S01006735",6340,6050,6199,2564,6295,6867,6883
"S01006736",5728,6475,6949,975,5046,6647,6914
"S01006737",5151,5746,5520,1405,6555,6912,5882
"S01006738",2137,4565,2665,6592,1154,5231,5659
"S01006739",2390,5214,1528,6242,2842,5129,5156
"S01006740",1549,2861,1998,6057,714,3864,4217
"S01006741",1637,2583,3533,4217,2356,3779,3162
"S01006742",3747,3387,4493,2890,3591,3812,3543
"S01006743",2913,4479,4320,2486,3142,5475,5892
"S01006744",2350,4391,1859,4993,3226,4510,4847
"S01006745",1947,2422,2677,6310,1327,2375,3701
"S01006746",2338,2879,1602,5754,3542,3411,3749
"S01006747",4775,5592,6401,3676,4170,5809,5899
"S01006748",5361,5941,4175,2522,2419,6087,6431
"S01006749",2667,3015,4774,4322,5963,4495,4087
"S01006750",3188,2896,3708,2506,1373,3705,3937
"S01006751",2231,2562,3308,2681,4982,4339,4478
"S01006752",1832,3535,3811,2672,2188,4177,4533
"S01006753",4902,5206,5910,3335,3594,6311,6382
"S01006754",5689,6262,6104,2854,4498,6205,6425
"S01006755",5507,5354,3866,821,2622,4840,6278
"S01006756",5795,6298,3794,699,4136,6380,6884
"S01006757",5691,4832,5386,5612,6518,6083,6665
"S01006758",5645,6609,5619,4889,5809,6488,6393
"S01006759",5811,6477,5832,2905,5269,6518,6792
"S01006760",5336,6271,2884,6365,5602,6814,6776
"S01006761",5207,6535,4199,5292,4653,6460,6725
"S01006762",5452,3831,5178,2917,4473,4994,5314
"S01006763",5160,6687,5583,2212,5164,6857,6818
"S01006764",5086,6181,3955,3036,6460,6534,6687
"S01006765",3613,5342,1964,2526,6556,6290,6550
"S01006766",5564,6095,4696,2523,6557,6653,6308
"S01006767",4451,5237,4110,4588,6558,5756,5591
"S01006768",6269,6683,6750,4504,6559,6522,6743
"S01006769",4527,4228,4933,2931,6062,4908,4732
"S01006770",4143,6214,5667,2937,6301,6403,5722
"S01006771",4977,6328,5360,4001,6560,6112,6581
"S01006772",3901,6274,4227,3893,6114,6644,6651
"S01006773",4440,5051,6150,3417,5270,6247,6920
"S01006774",4800,6688,6322,2365,6022,6610,6594
"S01006775",2640,4633,1892,1973,5153,4441,4549
"S01006776",2414,2967,2345,4692,6561,3428,4400
"S01006777",5835,5686,6429,5990,5180,6484,6528
"S01006778",3342,4073,3568,6796,3857,5466,4791
"S01006779",1489,2416,1187,5262,1479,2836,3217
"S01006780",4252,5348,3282,5703,5247,5348,5323
"S01006781",5725,5406,4890,4748,6408,6318,6096
"S01006782",5463,5891,2496,5225,772,5439,6733
"S01006783",3994,4454,3272,5574,2523,5254,3988
"S01006784",6126,6162,5072,4774,4725,6140,6319
"S01006785",6105,6780,5711,1078,6562,6853,6944
"S01006786",5504,6226,4486,1455,4226,6673,6586
"S01006787",3340,5326,5515,2358,5410,6115,5931
"S01006788",4060,3534,4617,945,4761,5308,4100
"S01006789",5195,5878,3731,6011,3879,5577,5073
"S01006790",3806,5939,2501,6160,4400,4742,4776
"S01006791",4022,6446,4152,117,2389,4746,4348
"S01006792",4212,6654,3370,168,4577,5487,6302
"S01006793",4858,6863,5323,2061,5610,5942,6659
"S01006794",4607,4321,4062,2764,4662,3635,3154
"S01006795",5634,5748,5495,4581,3276,4865,5308
"S01006796",4579,6612,6929,700,6201,6262,6048
"S01006797",4998,6532,3674,394,6351.5,5889,6620
"S01006798",5317,6287,3306,77,5006,6175,6141
"S01006799",4359,4408,5153,4707,5081,4548,5307
"S01006800",6533,6885,6119,687,6563,6654,6511
"S01006801",6054,5771,6198,1443,4128,6213,6432
"S01006802",5294,5951,3333,476,5668,4176,5554
"S01006803",3772,5072,3912,4050,5441,3951,4626
"S01006804",2902,6224,4721,4548,6478.5,5611,5621
"S01006805",4288,6150,2166,1432,2044,4823,5414
"S01006806",4814,5700,4729,349,6537,5437,5582
"S01006807",3608,5957,5537.5,214,4878,4637,5014
"S01006808",5779,6523,4915,298,6564,5706,6463
"S01006809",3914,4815,4121,672,2432,3734,3895
"S01006810",4228,5174,4515,369,5477,3816,4857
"S01006811",5408,6505,5097,532,4630,5430,6496
"S01006812",4249,6340,4839,498,4798,5198,5732
"S01006813",4067,5782,2737,566,5011,3771,5778
"S01006814",5944,6904,6631,944,4844,6510,6448
"S01006815",2897,4173,3005,3420,4106,3867,4237
"S01006816",4953,4343,6475,1826,4985,5074,5220
"S01006817",4944,5357,4266,392,3584,5139,5813
"S01006818",5964,6396,4888,172,6454,6230,6558
"S01006819",6236,6785,5179,137,3061,6698,6838
"S01006820",6286,6733,5894.5,401,6565,6781,6885
"S01006821",5874,6911,5229,178,4708,6842,6932
"S01006822",5792,6556,5051,187,5182,6565,6790
"S01006823",6654,5665,3589,3003,6566,6095,6010
"S01006824",1999,3471,5728,5265,4184,2773,2593
"S01006825",4659,5713,5458,3067,3494,5652,5904
"S01006826",5588,5351,6498,4502,6438,5764,4738
"S01006827",4134,4405,3053,5855,3004,3928,3716
"S01006828",4804,4897,2977,6217,3674.5,4899,4192
"S01006829",6284,6913,6974,1151,5857,6764,6902
"S01006830",4245,4992,5551,2635,4507,5739,4737
"S01006831",6296,6120,6714,3179,5775,6464,6580
"S01006832",6210,5766,4725,6166,3239,5320,5874
"S01006833",6927,6249,6289,6151,3513,6503,6962
"S01006834",5787,6324,5913,3289,6567,6628,6742
"S01006835",3801,3394,2434,6672,743,4480,4691
"S01006836",6213,5512,5451,1894,6224,6377,6440
"S01006837",5076,5201,5775,3937,4555,5251,5638
"S01006838",6375,6046,6691,3156,6332,5265,6307
"S01006839",3651,5295,4921,539,6424,5795,5615
"S01006840",5958,6849,6839,618,6090,6911,6926
"S01006841",6071,6251,6599,493,6568,6536,6373
"S01006842",4956,5763,6781,5158,3307,6428,6363
"S01006843",4556,6385,6303,4149,6569,6839,6856
"S01006844",4897,5928,2760,4476,6570,6363,6328
"S01006845",4937,6004,6369,2544,6524,6633,6693
"S01006846",2601,4094,3997,2735,6571,5686,5516
"S01006847",5143,4987,5223,5038,2527,5930,6260
"S01006848",4681,6135,5865,397,3256,5757,5392
"S01006849",4235,6942,5436,968,6074,6883,6958
"S01006850",1819,3892,4595,2312,3376,4575,4998
"S01006851",3826,3745,3647,6231,3361,3650,3830
"S01006852",5188,6377,6680,663,6572,6793,6675
"S01006853",6779,6927,5666,140,4279,6656,6874
"S01006854",5105,5461,5069,1246,6500,5081,5937
"S01006855",6193,6804,5236,82,5734,6717,6554
"S01006856",5776,6813,5084,289,6419,6661,6807
"S01006857",5698,6571,4451,268,5844,6454,6822
"S01006858",5551,6838,5559,81,6573,6840,6277
"S01006859",6826,6744,6719,1231,6319,6862,6834
"S01006860",3274,3400,3930,3544,5142,3268,4158
"S01006861",6855,6951,5936,735,6343,6702,6907
"S01006862",4963,5227,5689,3768,5897,5703,5957
"S01006863",4739,6297,4510,1999,4605,5877,6565
"S01006864",5736,6558,4211,863,5419,6435,6421
"S01006865",6484,6433,4564,6106,1912,6436,6524
"S01006866",6923,6694,6904,3582,5472,6737,6830
"S01006867",6756,6726,6849,2840,5954,6616,6752
"S01006868",5413,4756,5516,1958,5891,4937,5038
"S01006869",3289,5345,3172,1888,6079,5519,6021
"S01006870",6433,6382,5203,3635,6574,6618,6722
"S01006871",6499,5232,4052,3402,6575,5793,5749
"S01006872",6620,6840,5112,513,4825,5977,6557
"S01006873",6631,6256,6015,457,5969,6418,6635
"S01006874",5138,6006,2682,328,6248,6473,6072
"S01006875",4940,5611,5481,5285,5661,4751,4486
"S01006876",4655,6237,3950,538,6434,6190,6424
"S01006877",5919,6022,4977,87,5823,6794,6523
"S01006878",3616,5145,6222,375,5393,3078,4394
"S01006879",5742,5727,5291,278,5790.5,5609,5922
"S01006880",6450,6906,5843,323,6576,6876,6894
"S01006881",6434,6843,5841,319,4912,6954,6717
"S01006882",2850,6008,3984,6701,4504,4770,4807
"S01006883",5682,6342,4843,6635,4729,4847,5067
"S01006884",5713,5274,5894.5,6075,6386,5224,6031
"S01006885",5352,5523,6803,3202,2326,3924,5077
"S01006886",4779,6510,4053,353,6298,6076,6430
"S01006887",6266,6518,6670,2031,5982,6053,6024
"S01006888",5271,6101,5739,338,5812,5733,6103
"S01006889",1555,3392,1687,4760,2701,3041,3619
"S01006890",6088,6659,6135,5737,3880,5888,6803
"S01006891",4526,4560,4556,6547,2900,4898,6164
"S01006892",1745,2953,3391,4682,4618,3247,3292
"S01006893",3553,5491,2678,4069,4040,4829,6202
"S01006894",4293,4357,6212,4235,6525,4763,4378
"S01006895",2621,4177,2119,5986,3049,4045,5211
"S01006896",4601,4705,4116,5108,3572,4675,4902
"S01006897",4792,6041,5808,4340,5913,6401,5782
"S01006898",3409,4940,3743,2907,5290.5,5066,5011
"S01006899",6153,6722,6648,2611,6577,6856,6802
"S01006900",5064,6412,5510,3063,6578,6208,6189
"S01006901",2400,3213,2310,3697,5224,4277,5666
"S01006902",3014,4114,2845.5,2841,5659,4077,3371
"S01006903",2082,2977,1717,2210,2912,3572,2362
"S01006904",4357,3743,4313,3917,6007,4760,5189
"S01006905",4729,4979,5312,3914,5885,5191,5179
"S01006906",1450,2635,2743,5199,5115,2939,2361
"S01006907",3102,5126,2566.5,6782,264,4319,5421
"S01006908",2738,4180,4015,6788,876,4855,4873
"S01006909",5940,6958,6934.5,788,6174,6963,6972
"S01006910",6563,6905,5183,815,6429,6496,6812
"S01006911",5127,6773,5990,1374,6478.5,6669,6921
"S01006912",5516,6828,3415,270,5478,6732,6833
"S01006913",5822,6809,6749,926,6066,5636,6443
"S01006914",6365,6920,4267,360,6579,6875,6940
"S01006915",5348,6397,5305,162,5832,6514,6404
"S01006916",4523,6771,6317,1099,6276,6665,6945
"S01006917",6076,6844,6561.5,1271,5607,6821,6935
"S01006918",4715,6494,6500,2049,2085,6775,6313
"S01006919",4830,6011,3325,2152,4359,5610,6389
"S01006920",5881,5306,4858,4242,1753,4880,4498
"S01006921",5791,6941,6840,1663,6311,6968,6967
"S01006922",4707,6667,5883,377,4697,5670,5969
"S01006923",5802,5621,6885,1299,5251,5443,5897
"S01006924",5469,6302,6166,257,2294,4665,4908
"S01006925",5495,6580,5461,779,6580,6056,6825
"S01006926",5238,6563,6958,669,6459,5772,6392
"S01006927",5081,6879,6878,469,6581,6585,6910
"S01006928",4610,5343,3548,602,4001.5,5842,5951
"S01006929",6911,6360,6669,2468,6328,5630,6427
"S01006930",6766,6650,6916,3273,6582,6877,6816
"S01006931",5707,6684,5556,238,4270,5714,5569
"S01006932",6422,6850,6420.5,665,6516,6907,6953
"S01006933",6037,6753,6041,4479,6583,6871,6588
"S01006934",5185,5699,5335,405,4827,6173,6221
"S01006935",6748,6570,6779,4720,6149,6666,6732
"S01006936",6204,5596,6612,5211,3489,5677,5898
"S01006937",5626,6398,5617.5,2991,5634,6079,6566
"S01006938",5906,5266,4282,3035,6584,5389,6066
"S01006939",6571,6707,6426,3510,5944,6721,6689
"S01006940",6170,6208,5988,4395,5067,6739,6481
"S01006941",4791,5971,5799,3686,3928,5637,6020
"S01006942",5889,4854,6745,1007,5203,5366,5802
"S01006943",6933,6937,6875,1153,6585,6949,6956
"S01006944",5591,6961,5863,769,5959,6812,6954
"S01006945",6738,6641,6468,2088,6059,6792,6913
"S01006946",5899,6807,5607,425,3463,6504,6718
"S01006947",5359,6034,4892,897,5929,6458,6575
"S01006948",5035,5626,5549,367,5207,6221,6318
"S01006949",5931,6791,6387,175,5928,6835,6715
"S01006950",2317,6887,6291,265,4243,6895,6772
"S01006951",5922,5361,5674,645,6586,6139,5876
"S01006952",4841,4088,3874,424,6045,3899,4727
"S01006953",5850,6788,6367,616,5599,6521,6351
"S01006954",5821,5875,6160,562,5869,5522,5126
"S01006955",3855,4036,2348,970,3693,4568,5263
"S01006956",5122,6740,5063,782,5533,6586,6855
"S01006957",6116,6496,6629,354,5867,6604,6851
"S01006958",5866,6155,6665,4537,4699,6308,5970
"S01006959",3867,4046,3559,6892,867,2673,3490
"S01006960",5848,6916,6578,1692,5100,6696,6963
"S01006961",5656,6945,6806,1302,6096,6852,6925
"S01006962",5278,5937,5692,5672,5922,6043,6006
"S01006963",5103,5869,6789,3213,5464,5843,5926
"S01006964",4216,4909,3923,2530,5842,5771,5623
"S01006965",6739,6087,4769,3033,2663,6179,5883
"S01006966",2570,3588,4381,3545,4242,3688,3679
"S01006967",5946,6606,5151,2616,6587,6465,6870
"S01006968",4531,5536,4197,2967,6588,5183,5042
"S01006969",4819,4515,5085,2163,5504,4467,5154
"S01006970",6565,6723,6846,3057,3588,6634,6460
"S01006971",3391,3758,3379,5965,2439,3626,3882
"S01006972",4626,6853,4805,322,6315.5,6245,6868
"S01006973",6428,5489,6147,750,2240,6324,5979
"S01006974",6008,6626,6029,833,6331,5879,6669
"S01006975",5586,6565,4781,112,4493,6261,6342
"S01006976",5270,6177,3011,522,6589,6818,6748
"S01006977",5110,4837,4758,447,4467,3865,3946
"S01006978",5560,5789,4005,1020,5738,4971,5360
"S01006979",5687,5888,4981,1997,6590,4942,5760
"S01006980",5347,6106,5351,423,6591,6074,6081
"S01006981",5941,6350,5366,453,6480,6229,5967
"S01006982",4767,6530,4778,2395,6399,6316,6805
"S01006983",4292,5436,6002,1327,6230.5,6110,6076
"S01006984",6586,6735,4519,308,6465,6692,6698
"S01006985",5047,6059,5622,6009,3527,5945,6762
"S01006986",4721,5136,5932,5234,3050,5261,5616
"S01006987",2380,5311,5033,6371,4238,5641,4991
"S01006988",3674,5433,4851,1804,5474,4354,5403
"S01006989",6041,6445,6237,518,6355,6658,6637
"S01006990",5746,6598,6544,1265,6075,6593,6937
"S01006991",4008,4716,3581,3225,5927,3003,3804
"S01006992",4333,6779,5207,98,4998,6456,6176
"S01006993",3695,5265,3882,92,6592,4940,5013
"S01006994",3116,4882,5929,296,6593,4394,3393
"S01006995",3363,6320,6043,337,6594,6184,6828
"S01006996",3633,6282,4484,932,6512,6279,6582
"S01006997",6300,6599,6037,294,6359,6743,6562
"S01006998",4961,5739,6217,593,6351.5,5939,6098
"S01006999",4085,5800,3819,59,6501,6206,6049
"S01007000",4406,5633,5690,1554,5304,4651,6214
"S01007001",4112,4330,5686,5232,4477,4802,4495
"S01007002",3280,4968,4683,955,2902,4599,4530
"S01007003",4587,6895,3605,301,3233,6321,6479
"S01007004",4478,5426,5003,284,6230.5,5834,5527
"S01007005",5993,6260,6357,432,6152,6532,6334
"S01007006",4255,4741,4505,514,5470,4249,4793
"S01007007",3659,5963,3769.5,125,6034,4831,5382
"S01007008",2577,3349,2908,6161,3071,3410,3454
"S01007009",3378,4226,3902,3976,4099,3643,3819
"S01007010",5383,4682,5837,6058,5290.5,5150,6407
"S01007011",2522,2648,3491,6770,1685,2311,2696
"S01007012",774,3163,2627,3925,1637,1906,2282
"S01007013",2510,5131,6452,503,5179,3266,3979
"S01007014",4405,6259,6365,546,6595,6302,6547
"S01007015",3452,5954,5933,100,6596,4736,5003
"S01007016",3958,5066,3914,163,6597,5653,5496
"S01007017",2429,2784,4342,5857,4035,2651,3874
"S01007018",4384,5200,4236,2636,5226,5249,5046
"S01007019",1760,3824,2549,6104,3612,3548,3893
"S01007020",3496,4049,3776,6736,2858,3642,4706
"S01007021",3396,3321,5463,6099,5906,4852,3938
"S01007022",2443,5883,5198,5141,6598,6662,6736
"S01007023",5353,4713,4984,733,6028,4227,4938
"S01007024",3243,4503,4123,192,3903,4487,4695
"S01007025",1642,3129,4337.5,3238,4887,2906,3333
"S01007026",2624,3712,6007,5053,3719,4117,4510
"S01007027",1851,3624,4587,1954,4012,3676,3294
"S01007028",2836,4747,3817,410,6462,3675,4136
"S01007029",4316,5098,4795,220,6599,4273,4993
"S01007030",2799,4332,4743,2353,3113,4042,3947
"S01007031",1506,3827,5434,1689,4768,2872,2978
"S01007032",2106,3024,3692,6281,673,2576,1982
