"data_zone","education","health","housing","access","crime","income","employment"
"S01008491",2945,4024,692,5526,2721,3615,4211
"S01008492",2493,2678,1011,5674,3394,2580,2911
"S01008493",2629,2700,563,5317,703,2964,2762
"S01008494",1295,2323,82,5906,1054,2565,1402
"S01008495",1831,3797,9,6742,1688,3653,3022
"S01008496",3698,4434,11,6816,4268,4726,3923
"S01008497",6599,4755,12,6609,2706,4282,3686
"S01008498",2290,2511,32,6939,1012,2754,1828
"S01008499",4614,4392,33,6935,3297,3984,3391
"S01008500",1398,542,271,6507,2852.5,1356,825
"S01008501",3839,6730,1686,6362,6335,5327,5790
"S01008502",4802,6965,277,6183,3917,6591,6731
"S01008503",5989,6834,1199,6035,3449,5541,6612
"S01008504",6305,6818,2328,4057,6210,6223,6255
"S01008505",6792,5999,4507,4829,6212,6300,5845
"S01008506",6137,5057,2503,5394,5154,5884,6018
"S01008507",6290,5967,2684,6302,2172,4773,5718
"S01008508",6691,6668,6491,3886,3945,6822,6729
"S01008509",6811,6564,5040,4413,4090,6645,6391
"S01008510",6498,6689,4797,3125,1430,6587,6429
"S01008511",6860,6656,6591,4134,2914,6882,6778
"S01008512",6837,6862,6834,3590,2542,6936,6771
"S01008513",6873,5877,6145,4155,2852.5,6663,6919
"S01008514",6942,4547,6360,2722,3169,5797,4827
"S01008515",6859,6884,5130,3939,5527,6884,6903
"S01008516",3439,4744,259,4523,5138,4317,3627
"S01008517",6616,5998,2189,6855,4767,5329,6366
"S01008518",6850,6901,4209,5806,1883,6639,6330
"S01008519",6956,6783,5406,3367,2567,6748,6263
"S01008520",6898,6846,6688,4236,2360,6779,6622
"S01008521",6955,6882,6685,3233,3445,6724,6577
"S01008522",6966,6875,6924,1775,3265,6685,6840
"S01008523",6890,6909,6479,787,6443,6708,6709
"S01008524",1798,1556,696,2060,257,969,914
"S01008525",1700,2667,2668,4007,1877,2181,2990
"S01008526",2751,3270,2578,5831,930,2743,3186
"S01008527",5046,4965,1903,6582,2391,4099,4849
"S01008528",5345,4414,2615,4030,3924,4214,3841
"S01008529",5375,3856,1994,5213,5072,3616,3382
"S01008530",1711,1025,689,6000,434,703,505
"S01008531",1927,2173,1601,3933,1647,1671,1524
"S01008532",2314,3872,3215,6293,2227,2168,2347
"S01008533",3835,4300,4917,4181,1752,5423,5779
"S01008534",5091,6806,6152,2140,4357,6902,6800
"S01008535",6692,6060,6664,3095,3249,6483,5677
"S01008536",6376,6247,6649,4714,2829,6734,5601
"S01008537",6948,6829,6476,2071,3970.5,6960,6806
"S01008538",6962,6633,6576,3677,5524,6896,6819
"S01008539",6861,6701,6385,4365,3653,6595,6606
"S01008540",6774,6663,6652,5077,3515,6714,6251
"S01008541",6769,6787,6267,2719,5003,6826,6760
"S01008542",6473,6528,5679,2963,4881,6607,6333
"S01008543",6737,6802,6600,1626,6449,6581,6793
"S01008544",6909,6963,5763,604,6043,6938,6881
"S01008545",6896,6890,6111,1523,5484,6795,6891
"S01008546",6941,6799,6804,1525,3056,6961,6865
"S01008547",4498,5244,4873,1006,4756,5170,5564
"S01008548",3981,4812,4312,1592,3940,4171,4671
"S01008549",3261,4034,2372,3927,2040,3837,3724
"S01008550",5765,6345,4302.5,1014,3355,6169,5965
"S01008551",3963,4810,2917,2721,3529,4462,4968
"S01008552",4825,5903,5263,2307,3206,5806,5150
"S01008553",1903,2893,2289,5717,201,2736,2484
"S01008554",464,1235,466,3410,1360,697,1023
"S01008555",593,1021,629,4983,1546,728,904
"S01008556",384,1197,1069,5325,989,771,542
"S01008557",812,1144,1428,5104,479,1056,1556
"S01008558",1124,1308,819,4687,507,1418,1581
"S01008559",1260,1908,737,3842,1828,2403,2237
"S01008560",1118,1843,1333,4490,2370,1499,1559
"S01008561",1320,2790,860,3218,2081,2726,3457
"S01008562",1697,596,1287,4282,1836,1041,604
"S01008563",1261,1417,1251,6529,1212,1179,1481
"S01008564",2262,1902,2454,6356,3055,3108,2356
"S01008565",888,1027,1726,6137,690,1048,990
"S01008566",533,1342,687,3486,1138,2047,2266
"S01008567",1371,2125,1279,3894,1630,2091,2222
"S01008568",2991,4381,3263.5,1715,1355,3669,4262
"S01008569",82,251,428,2641,187,113,31
"S01008570",458,856,433,4396,628,557,577
"S01008571",1612,2515,4425,5004,293,2222,2049
"S01008572",2512,2950,4133,5063,4433,3141,2583
"S01008573",4453,4233,5287,3284,2430,4474,5479
"S01008574",5420,4596,5660,2272,2737,5585,6207
"S01008575",5927,6649,6202,2547,2216,6744,6491
"S01008576",5916,5253,4488,5093,3531,5289,3912
"S01008577",5532,3187,6533,5938,2623,3848,4554
"S01008578",6718,5396,6555,5595,3182,6266,6666
"S01008579",6267,4292,5205,2675,2630,4922,3936
"S01008580",3063,5168,2774,3758,4492,4093,4747
"S01008581",2844,1268,1159,2796,4072,1219,1128
"S01008582",1898,1999,2322,4013,1601,1674,1682
"S01008583",3356,2594,1179,4683,1507,2273,2685
"S01008584",2037,3529,1422,2815,4097,2243,2920
"S01008585",1108,2638,1203,3515,2581,1421,1949
"S01008586",1547,2052,650,4052,2452,2190,2613
"S01008587",6372,4698,5630,4652,1211,4817,6493
"S01008588",6579,6465,4676,4658,3742,6383,6341
"S01008589",6653,5241,6560,2674,2196,4544,6156
"S01008590",6143,6273,4994,3276,5302,5974,6198
"S01008591",6425,5395,4088,3468,4340,5392,5212
"S01008592",4107,4245,2017,2195,716,4007,3842
"S01008593",6958,6640,6338,4243,1230,6729,6506
"S01008594",6411,5557,4041,4869,2989,6039,6257
"S01008595",2967,1093,1015,5407,2444,1185,1191
"S01008596",2476,1976,896,5591,3635,1921,2403
"S01008597",6227,5598,5517,3610,2752,5773,6015
"S01008598",5224,5479,652,6131,4269,4631,5110
"S01008599",6048,6664,2356,5714,2011,6064,5758
"S01008600",5952,6270,1362,5952,3134,4810,4929
"S01008601",4270,6490,179,5460,4506,6761,6873
"S01008602",6131,6686,742,5303,2259,6479,6567
"S01008603",4884,4287,189,6783,4634,3730,3989
"S01008604",6183,6638,1836,6203,2897,6007,5515
"S01008605",6277,6933,788,6358,3481,6135,6574
"S01008606",6904,6526,4450,4377,2463,6437,5976
"S01008607",6973,6458,6286,5971,3287,5718,6406
"S01008608",6938,6242,4834,5789,2997,6189,6570
"S01008609",6802,5453,4927,3742,3525,5258,5971
"S01008610",6916,6227,2914,6774,2879,6114,6514
"S01008611",6794,6915,547,6433,4262,6402,6626
